Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,d_s_ratio,demand_class,supply_class,demand_metric,supply_metric,predicted_price_pca
86,49,Urban,Regular,99,3.51,Night,Economy,130,471.4796321,1.76,high_demand,high_supply,1.0617283950617284,1.2894736842105263,456.3086509891631
75,7,Suburban,Gold,100,4.13,Morning,Economy,134,453.3769494,10.71,low_demand,low_supply,1.875,0.6363636363636364,460.4778615002747
39,29,Suburban,Silver,12,4.24,Evening,Economy,97,251.1073065,1.34,low_demand,low_supply,0.975,2.6363636363636362,349.807888968082
33,6,Rural,Gold,90,4.81,Night,Premium,139,521.8019208,5.5,low_demand,low_supply,0.825,0.5454545454545454,527.1377074931734
40,29,Suburban,Silver,6,4.94,Night,Premium,71,346.4926515,1.38,low_demand,low_supply,1.0,2.6363636363636362,301.7321884795713
54,35,Suburban,Silver,66,4.4,Night,Economy,77,234.0714535,1.54,low_demand,low_supply,1.35,3.1818181818181817,283.30250116486235
53,26,Urban,Gold,54,4.6,Night,Premium,52,184.0244513,2.04,low_demand,low_supply,1.325,2.3636363636363638,230.48072294198386
81,34,Urban,Silver,98,3.55,Afternoon,Premium,164,554.8869659,2.38,low_demand,low_supply,2.025,3.090909090909091,627.8728083055169
45,20,Urban,Regular,80,4.73,Morning,Economy,63,192.6197724,2.25,low_demand,low_supply,1.125,1.8181818181818181,222.95215284024744
20,9,Urban,Silver,77,3.91,Evening,Economy,89,227.7965248,2.22,low_demand,low_supply,0.5,0.8181818181818182,309.21637726379305
47,22,Rural,Silver,11,4.8,Afternoon,Premium,119,416.601649,2.14,low_demand,low_supply,1.175,2.0,466.5440566436614
33,18,Urban,Gold,90,3.61,Evening,Premium,146,671.7128294,1.83,low_demand,low_supply,0.825,1.6363636363636365,557.1968753285139
78,57,Rural,Silver,5,4.82,Morning,Premium,127,552.6397714,1.37,low_demand,high_supply,1.95,1.5,485.65450962608566
26,12,Rural,Silver,9,3.75,Afternoon,Economy,115,321.3724051,2.17,low_demand,low_supply,0.65,1.0909090909090908,405.81600746549793
62,21,Rural,Regular,61,4.57,Night,Economy,56,215.4338699,2.95,low_demand,low_supply,1.55,1.9090909090909092,199.35308533932624
84,59,Suburban,Silver,67,4.27,Morning,Premium,164,758.9961232,1.42,high_demand,high_supply,1.037037037037037,1.5526315789473684,620.0348830193927
49,8,Urban,Regular,1,4.06,Afternoon,Premium,157,694.4247149,6.12,low_demand,low_supply,1.225,0.7272727272727273,588.5398413631663
34,22,Suburban,Gold,34,3.64,Morning,Economy,176,617.3632185,1.55,low_demand,low_supply,0.85,2.0,624.7725410867461
49,30,Rural,Silver,86,3.62,Afternoon,Premium,69,328.635369,1.63,low_demand,low_supply,1.225,2.727272727272727,295.7097235796906
83,50,Rural,Regular,7,3.66,Evening,Premium,100,376.3000601,1.66,high_demand,high_supply,1.0246913580246915,1.3157894736842106,393.0228832788904
88,5,Urban,Silver,89,3.59,Night,Economy,27,70.20380337,17.6,high_demand,low_supply,1.0864197530864197,0.45454545454545453,86.24794851038763
90,71,Suburban,Gold,88,3.84,Morning,Economy,167,451.684865,1.27,high_demand,high_supply,1.1111111111111112,1.868421052631579,590.6285257676525
65,5,Rural,Silver,24,3.54,Night,Economy,119,301.4039268,13.0,low_demand,low_supply,1.625,0.45454545454545453,409.6103893204557
73,28,Urban,Silver,22,4.57,Afternoon,Economy,53,153.3960711,2.61,low_demand,low_supply,1.825,2.5454545454545454,190.94700091572778
85,62,Suburban,Silver,54,3.78,Morning,Economy,114,339.6623042,1.37,high_demand,high_supply,1.0493827160493827,1.631578947368421,402.12743569004584
65,27,Rural,Gold,62,3.54,Night,Premium,162,733.4425367,2.41,low_demand,low_supply,1.625,2.4545454545454546,619.2912776481992
74,42,Urban,Gold,88,3.5,Evening,Economy,77,203.836381,1.76,low_demand,high_supply,1.85,1.105263157894737,262.1738507614758
41,7,Rural,Gold,68,4.3,Evening,Premium,66,284.5088586,5.86,low_demand,low_supply,1.025,0.6363636363636364,267.697267053933
79,23,Urban,Gold,88,3.88,Night,Economy,164,492.1134584,3.43,low_demand,low_supply,1.975,2.090909090909091,577.8677229806116
53,7,Urban,Silver,64,4.55,Night,Premium,10,86.19117981,7.57,low_demand,low_supply,1.325,0.6363636363636364,68.60934262429163
35,14,Urban,Silver,74,5.0,Night,Premium,175,727.8809448,2.5,low_demand,low_supply,0.875,1.2727272727272727,657.9790015085091
53,40,Rural,Gold,79,3.66,Evening,Premium,30,158.6526416,1.32,low_demand,high_supply,1.325,1.0526315789473684,142.47425741413628
36,23,Urban,Silver,42,4.66,Morning,Economy,14,44.52503661,1.57,low_demand,low_supply,0.9,2.090909090909091,53.45712224183666
38,25,Urban,Regular,2,4.24,Morning,Premium,128,452.4258269,1.52,low_demand,low_supply,0.95,2.272727272727273,498.851153914022
52,36,Rural,Silver,1,4.52,Morning,Premium,36,152.6404792,1.44,low_demand,low_supply,1.3,3.272727272727273,182.14800275597338
91,64,Suburban,Regular,26,4.56,Morning,Premium,96,420.2245689,1.42,high_demand,high_supply,1.123456790123457,1.6842105263157894,380.7875647385155
87,5,Urban,Silver,59,4.32,Night,Economy,42,151.3593007,17.4,high_demand,low_supply,1.0740740740740742,0.45454545454545453,139.21900874690186
96,20,Suburban,Gold,88,3.6,Evening,Premium,71,242.2719657,4.8,high_demand,low_supply,1.1851851851851851,1.8181818181818181,292.62237527182083
83,59,Urban,Gold,8,4.85,Morning,Economy,31,119.0485544,1.41,high_demand,high_supply,1.0246913580246915,1.5526315789473684,108.492732362742
48,23,Rural,Gold,0,4.46,Afternoon,Economy,174,472.5695408,2.09,low_demand,low_supply,1.2,2.090909090909091,619.0154703758902
65,19,Suburban,Silver,24,4.59,Evening,Economy,96,334.6493506,3.42,low_demand,low_supply,1.625,1.7272727272727273,335.6836171699785
79,29,Suburban,Silver,0,4.86,Morning,Economy,127,406.0855257,2.72,low_demand,low_supply,1.975,2.6363636363636362,451.16923083036477
100,22,Suburban,Silver,45,4.23,Night,Premium,141,551.3651376,4.55,high_demand,low_supply,1.2345679012345678,2.0,542.3566188541733
73,63,Suburban,Silver,25,4.19,Afternoon,Economy,129,534.0181946,1.16,low_demand,high_supply,1.825,1.6578947368421053,452.3361324716574
79,67,Rural,Gold,56,4.01,Evening,Premium,151,501.2363001,1.18,low_demand,high_supply,1.975,1.763157894736842,571.5364677479918
88,55,Rural,Regular,56,4.0,Night,Premium,26,159.6069186,1.6,high_demand,high_supply,1.0864197530864197,1.4473684210526316,134.38601105633091
76,34,Suburban,Silver,10,4.92,Morning,Economy,103,359.801051,2.24,low_demand,low_supply,1.9,3.090909090909091,370.5203741077654
49,30,Suburban,Silver,80,3.74,Night,Economy,85,348.6695625,1.63,low_demand,low_supply,1.225,2.727272727272727,308.5540786197967
100,64,Rural,Regular,7,4.89,Night,Premium,115,490.504076,1.56,high_demand,high_supply,1.2345679012345678,1.6842105263157894,449.4159812890968
87,26,Rural,Gold,63,4.2,Morning,Premium,118,485.6832395,3.35,high_demand,low_supply,1.0740740740740742,2.3636363636363638,465.31737919382215
22,5,Rural,Silver,93,4.85,Evening,Economy,99,424.9275102,4.4,low_demand,low_supply,0.55,0.45454545454545453,342.99579443971356
21,11,Rural,Silver,23,3.76,Afternoon,Economy,12,40.44289065,1.91,low_demand,low_supply,0.525,1.0,42.44625952889851
93,57,Suburban,Regular,34,4.89,Morning,Premium,80,258.4249153,1.63,high_demand,high_supply,1.1481481481481481,1.5,322.7609070525636
28,15,Rural,Gold,90,4.25,Night,Premium,177,511.929391,1.87,low_demand,low_supply,0.7,1.3636363636363635,668.3214354947784
97,7,Urban,Silver,22,3.74,Afternoon,Premium,147,441.746701,13.86,high_demand,low_supply,1.1975308641975309,0.6363636363636364,552.6881702742427
48,12,Urban,Silver,51,4.63,Night,Premium,32,175.5180543,4.0,low_demand,low_supply,1.2,1.0909090909090908,150.46801069852023
70,37,Urban,Silver,10,3.65,Night,Premium,168,658.5834277,1.89,low_demand,low_supply,1.75,3.3636363636363638,645.3750580925027
78,12,Rural,Silver,99,4.3,Afternoon,Economy,95,299.2909931,6.5,low_demand,low_supply,1.95,1.0909090909090908,328.5333480632346
25,7,Rural,Regular,24,3.85,Evening,Premium,144,494.8027992,3.57,low_demand,low_supply,0.625,0.6363636363636364,544.8877666688402
24,9,Urban,Gold,6,4.05,Afternoon,Premium,69,223.519012,2.67,low_demand,low_supply,0.6,0.8181818181818182,282.1148591580122
92,37,Rural,Silver,7,4.92,Morning,Premium,103,434.5710508,2.49,high_demand,low_supply,1.1358024691358024,3.3636363636363638,420.0401830879346
43,33,Rural,Gold,16,4.01,Morning,Premium,159,630.4284013,1.3,low_demand,low_supply,1.075,3.0,614.9842131523751
96,23,Urban,Gold,8,4.23,Morning,Premium,90,445.1254111,4.17,high_demand,low_supply,1.1851851851851851,2.090909090909091,362.15518664403993
88,46,Rural,Gold,35,4.89,Afternoon,Premium,72,361.985521,1.91,high_demand,high_supply,1.0864197530864197,1.2105263157894737,294.9516417093386
83,43,Suburban,Regular,20,3.59,Morning,Economy,63,267.2821971,1.93,high_demand,high_supply,1.0246913580246915,1.131578947368421,218.39652211871345
50,29,Urban,Regular,2,4.81,Morning,Economy,143,518.954763,1.72,low_demand,low_supply,1.25,2.6363636363636362,510.97949155648115
97,75,Urban,Regular,15,4.94,Afternoon,Economy,163,575.4934492,1.29,high_demand,high_supply,1.1975308641975309,1.9736842105263157,577.6396951901565
84,24,Suburban,Regular,39,4.08,Afternoon,Economy,86,349.4432162,3.5,high_demand,low_supply,1.037037037037037,2.1818181818181817,308.91961802061167
68,40,Suburban,Silver,58,4.64,Morning,Premium,68,279.2349662,1.7,low_demand,high_supply,1.7,1.0526315789473684,274.01762761751553
77,30,Urban,Regular,99,4.7,Evening,Premium,179,689.7483155,2.57,low_demand,low_supply,1.925,2.727272727272727,676.5619911784877
82,67,Urban,Regular,13,4.43,Afternoon,Economy,33,88.76294359,1.22,high_demand,high_supply,1.0123456790123457,1.763157894736842,118.39834060340357
21,8,Suburban,Gold,37,3.71,Evening,Premium,171,621.7963495,2.62,low_demand,low_supply,0.525,0.7272727272727273,640.0862219779794
75,24,Rural,Regular,44,3.79,Night,Premium,72,307.6219494,3.12,low_demand,low_supply,1.875,2.1818181818181817,298.38466634430944
61,9,Urban,Gold,74,3.98,Evening,Premium,32,172.4105313,6.78,low_demand,low_supply,1.525,0.8181818181818182,144.96962436390987
90,13,Suburban,Regular,24,3.73,Afternoon,Economy,126,444.2453021,6.92,high_demand,low_supply,1.1111111111111112,1.1818181818181819,441.67116105707095
100,21,Suburban,Regular,20,3.52,Night,Premium,163,556.8967118,4.76,high_demand,low_supply,1.2345679012345678,1.9090909090909092,619.2309130714762
93,31,Suburban,Gold,13,3.58,Afternoon,Premium,101,355.3245755,3.0,high_demand,low_supply,1.1481481481481481,2.8181818181818183,408.42385050197123
92,14,Urban,Silver,57,3.73,Morning,Premium,133,474.9977391,6.57,high_demand,low_supply,1.1358024691358024,1.2727272727272727,507.5736437067224
61,12,Rural,Gold,59,4.72,Afternoon,Premium,178,581.9712306,5.08,low_demand,low_supply,1.525,1.0909090909090908,665.6033648951507
53,12,Suburban,Gold,79,3.6,Night,Premium,154,663.4393972,4.42,low_demand,low_supply,1.325,1.0909090909090908,580.5133741325374
55,21,Urban,Regular,20,3.56,Night,Premium,134,519.4694924,2.62,low_demand,low_supply,1.375,1.9090909090909092,515.8331332926182
57,45,Rural,Gold,78,4.43,Afternoon,Premium,112,397.6919501,1.27,low_demand,high_supply,1.425,1.1842105263157894,434.0725218014022
34,8,Suburban,Silver,51,4.09,Afternoon,Premium,130,388.1122299,4.25,low_demand,low_supply,0.85,0.7272727272727273,495.6340853700586
50,11,Suburban,Silver,19,4.87,Morning,Economy,144,591.100076,4.55,low_demand,low_supply,1.25,1.0,501.88044697629306
35,22,Rural,Silver,82,3.79,Afternoon,Economy,174,586.7988633,1.59,low_demand,low_supply,0.875,2.0,619.977733352337
43,14,Suburban,Regular,1,3.53,Night,Premium,134,648.9097429,3.07,low_demand,low_supply,1.075,1.2727272727272727,512.7122098734453
50,25,Suburban,Silver,19,4.32,Night,Economy,176,746.3391325,2.0,low_demand,low_supply,1.25,2.272727272727273,625.7803348769967
55,19,Urban,Regular,64,4.34,Morning,Premium,129,555.0976878,2.89,low_demand,low_supply,1.375,1.7272727272727273,495.8385504362715
93,67,Urban,Silver,21,4.88,Night,Premium,87,417.9131413,1.39,high_demand,high_supply,1.1481481481481481,1.763157894736842,350.07367363213416
94,69,Urban,Silver,86,4.12,Morning,Premium,18,97.80093622,1.36,high_demand,high_supply,1.1604938271604939,1.8157894736842106,106.14217298751367
70,60,Urban,Regular,57,4.05,Afternoon,Premium,43,193.089112,1.17,low_demand,high_supply,1.75,1.5789473684210527,190.49506527056468
36,25,Suburban,Regular,61,3.64,Night,Economy,132,492.4640116,1.44,low_demand,low_supply,0.9,2.272727272727273,472.4009058821848
37,9,Suburban,Silver,73,4.8,Morning,Economy,124,408.8156288,4.11,low_demand,low_supply,0.925,0.8181818181818182,431.5772546944976
68,46,Urban,Gold,8,4.21,Afternoon,Economy,116,364.1617948,1.48,low_demand,high_supply,1.7,1.2105263157894737,403.19215986972796
77,15,Suburban,Regular,47,4.47,Morning,Economy,66,228.6434979,5.13,low_demand,low_supply,1.925,1.3636363636363635,226.155064375356
27,12,Suburban,Silver,64,4.7,Evening,Economy,149,667.946428,2.25,low_demand,low_supply,0.675,1.0909090909090908,522.4881778628178
90,56,Suburban,Silver,61,4.38,Night,Premium,91,410.342709,1.61,high_demand,high_supply,1.1111111111111112,1.4736842105263157,362.45568932213297
46,23,Suburban,Regular,19,4.92,Afternoon,Economy,169,710.4192642,2.0,low_demand,low_supply,1.15,2.090909090909091,600.3635999673053
96,80,Urban,Regular,47,3.77,Morning,Economy,70,177.2030658,1.2,high_demand,high_supply,1.1851851851851851,2.1052631578947367,249.61234319469608
80,6,Rural,Silver,43,4.81,Night,Economy,24,74.32837978,13.33,low_demand,low_supply,2.0,0.5454545454545454,73.31089382571156
80,31,Suburban,Silver,91,4.61,Evening,Premium,127,392.3027601,2.58,low_demand,low_supply,2.0,2.8181818181818183,493.86748052160294
64,25,Suburban,Silver,85,4.46,Afternoon,Premium,37,168.6101943,2.56,low_demand,low_supply,1.6,2.272727272727273,176.00813412240288
57,42,Rural,Silver,36,3.59,Afternoon,Premium,167,587.2581373,1.36,low_demand,high_supply,1.425,1.105263157894737,627.43742786019
52,7,Rural,Silver,57,4.82,Night,Economy,180,563.9803273,7.43,low_demand,low_supply,1.3,0.6363636363636364,627.8961549639041
69,56,Urban,Regular,73,4.02,Night,Premium,116,352.3474983,1.23,low_demand,high_supply,1.725,1.4736842105263157,447.0686389369263
67,54,Suburban,Regular,53,3.67,Morning,Economy,110,415.3075369,1.24,low_demand,high_supply,1.675,1.4210526315789473,383.1016794991534
25,7,Rural,Silver,13,4.07,Afternoon,Premium,60,204.2158433,3.57,low_demand,low_supply,0.625,0.6363636363636364,250.45372408229076
80,35,Rural,Regular,29,4.49,Night,Economy,79,319.6520701,2.29,low_demand,low_supply,2.0,3.1818181818181817,288.2622278704231
73,6,Suburban,Silver,5,4.03,Night,Premium,71,362.0533307,12.17,low_demand,low_supply,1.825,0.5454545454545454,280.8324300754216
24,6,Urban,Regular,65,4.29,Afternoon,Premium,106,387.4755378,4.0,low_demand,low_supply,0.6,0.5454545454545454,410.45077193394917
37,14,Rural,Gold,18,4.36,Evening,Economy,85,348.8532987,2.64,low_demand,low_supply,0.925,1.2727272727272727,298.17612652119175
27,6,Rural,Regular,74,4.75,Afternoon,Premium,157,732.2985127,4.5,low_demand,low_supply,0.675,0.5454545454545454,591.6040574680266
23,11,Urban,Regular,11,4.86,Afternoon,Economy,133,343.6721334,2.09,low_demand,low_supply,0.575,1.0,467.3124500856429
42,8,Rural,Gold,12,4.79,Morning,Premium,166,599.7162532,5.25,low_demand,low_supply,1.05,0.7272727272727273,621.7358499557764
74,39,Urban,Silver,11,3.65,Morning,Economy,173,484.7545389,1.9,low_demand,high_supply,1.85,1.0263157894736843,600.883159541236
68,30,Urban,Regular,28,4.69,Night,Premium,134,581.1514566,2.27,low_demand,low_supply,1.7,2.727272727272727,520.6526096181279
59,9,Suburban,Silver,30,4.83,Afternoon,Economy,140,603.3651643,6.56,low_demand,low_supply,1.475,0.8181818181818182,486.27360592371815
89,75,Rural,Silver,76,4.39,Evening,Economy,110,369.8546415,1.19,high_demand,high_supply,1.0987654320987654,1.9736842105263157,391.0261840105078
81,35,Suburban,Regular,45,4.11,Night,Economy,174,708.8801421,2.31,low_demand,low_supply,2.025,3.1818181818181817,621.9352050610515
33,8,Suburban,Regular,74,4.52,Morning,Premium,56,205.8375505,4.12,low_demand,low_supply,0.825,0.7272727272727273,233.64190299097018
75,28,Urban,Gold,49,4.46,Night,Economy,163,684.5607033,2.68,low_demand,low_supply,1.875,2.5454545454545454,578.4726286564262
87,48,Suburban,Silver,95,4.73,Morning,Economy,162,453.2541299,1.81,high_demand,high_supply,1.0740740740740742,1.263157894736842,568.3730854049145
56,37,Suburban,Silver,96,3.83,Afternoon,Premium,130,412.584838,1.51,low_demand,low_supply,1.4,3.3636363636363638,513.7413850656352
75,32,Urban,Silver,20,3.69,Evening,Premium,96,440.4442377,2.34,low_demand,low_supply,1.875,2.909090909090909,385.5142916973448
99,54,Rural,Silver,96,3.77,Afternoon,Premium,61,241.6407114,1.83,high_demand,high_supply,1.2222222222222223,1.4210526315789473,257.12272189489676
33,16,Rural,Regular,81,4.08,Afternoon,Premium,50,201.2925319,2.06,low_demand,low_supply,0.825,1.4545454545454546,220.64990086550995
41,28,Rural,Gold,89,4.47,Evening,Premium,45,220.0511403,1.46,low_demand,low_supply,1.025,2.5454545454545454,208.80445798379665
55,19,Suburban,Silver,74,3.51,Morning,Economy,173,702.913416,2.89,low_demand,low_supply,1.375,1.7272727272727273,609.3010867737631
93,51,Rural,Silver,12,4.98,Morning,Premium,90,431.4216603,1.82,high_demand,high_supply,1.1481481481481481,1.3421052631578947,358.0524436420446
54,35,Urban,Silver,11,4.49,Afternoon,Premium,96,466.8626811,1.54,low_demand,low_supply,1.35,3.1818181818181817,392.24979169804385
34,20,Urban,Gold,21,4.15,Morning,Premium,158,445.1263612,1.7,low_demand,low_supply,0.85,1.8181818181818181,601.5701291229122
86,18,Suburban,Silver,61,4.3,Afternoon,Premium,126,441.6378571,4.78,high_demand,low_supply,1.0617283950617284,1.6363636363636365,487.65499440990027
85,27,Suburban,Gold,8,4.11,Night,Premium,157,669.5210117,3.15,high_demand,low_supply,1.0493827160493827,2.4545454545454546,603.3644989801583
74,5,Suburban,Regular,80,3.63,Night,Economy,134,354.3852115,14.8,low_demand,low_supply,1.85,0.45454545454545453,460.0755041203603
63,53,Rural,Gold,33,4.33,Afternoon,Economy,175,489.7125243,1.19,low_demand,high_supply,1.575,1.394736842105263,615.0639052555096
55,13,Suburban,Silver,45,3.71,Morning,Premium,40,222.568582,4.23,low_demand,low_supply,1.375,1.1818181818181819,177.96979450427872
100,66,Suburban,Gold,27,3.53,Evening,Premium,106,412.2556068,1.52,high_demand,high_supply,1.2345679012345678,1.736842105263158,415.1694971962644
51,27,Urban,Gold,86,3.82,Evening,Premium,152,472.2157353,1.89,low_demand,low_supply,1.275,2.4545454545454546,582.5311036272149
37,10,Urban,Silver,33,4.86,Afternoon,Economy,44,179.9398803,3.7,low_demand,low_supply,0.925,0.9090909090909091,150.85995499515062
99,71,Suburban,Gold,3,4.63,Morning,Premium,100,308.9111533,1.39,high_demand,high_supply,1.2222222222222223,1.868421052631579,395.84851119325947
54,24,Rural,Silver,85,3.79,Evening,Economy,102,306.3142432,2.25,low_demand,low_supply,1.35,2.1818181818181817,363.1611919237526
30,7,Rural,Gold,57,4.27,Morning,Premium,69,224.4648783,4.29,low_demand,low_supply,0.75,0.6363636363636364,280.4362205054679
84,56,Urban,Silver,71,4.56,Evening,Premium,15,101.0737865,1.5,high_demand,high_supply,1.037037037037037,1.4736842105263157,92.7493409594627
49,14,Suburban,Silver,55,4.43,Morning,Premium,131,633.4966221,3.5,low_demand,low_supply,1.225,1.2727272727272727,500.4396523705876
86,10,Urban,Silver,98,4.8,Morning,Economy,18,62.87509274,8.6,high_demand,low_supply,1.0617283950617284,0.9090909090909091,57.331853678935374
48,24,Rural,Gold,17,3.98,Afternoon,Economy,29,92.03104706,2.0,low_demand,low_supply,1.2,2.1818181818181817,108.30333840877665
67,18,Urban,Silver,78,3.81,Morning,Premium,22,106.7358926,3.72,low_demand,low_supply,1.675,1.6363636363636365,116.15681903701451
100,16,Rural,Gold,96,3.65,Night,Premium,163,560.6703257,6.25,high_demand,low_supply,1.2345679012345678,1.4545454545454546,616.892739707147
79,7,Rural,Silver,31,4.82,Night,Economy,100,322.9000695,11.29,low_demand,low_supply,1.975,0.6363636363636364,342.225628927439
99,9,Rural,Silver,33,4.98,Afternoon,Economy,110,292.3393609,11.0,high_demand,low_supply,1.2222222222222223,0.8181818181818182,383.04545315756985
34,24,Urban,Silver,3,4.41,Morning,Economy,97,242.751717,1.42,low_demand,low_supply,0.85,2.1818181818181817,347.1914294655799
54,21,Urban,Silver,23,4.44,Evening,Premium,136,442.7796306,2.57,low_demand,low_supply,1.35,1.9090909090909092,521.3717672460743
77,43,Suburban,Regular,73,4.07,Afternoon,Premium,131,505.5467165,1.79,low_demand,high_supply,1.925,1.131578947368421,496.8020161891778
80,21,Urban,Regular,85,4.21,Morning,Premium,146,474.9171618,3.81,low_demand,low_supply,2.0,1.9090909090909092,554.0049655281424
74,54,Urban,Regular,16,4.35,Afternoon,Premium,147,617.4346784,1.37,low_demand,high_supply,1.85,1.4210526315789473,555.5436005301244
57,38,Urban,Regular,31,3.97,Morning,Premium,64,294.8553699,1.5,low_demand,low_supply,1.425,3.4545454545454546,280.04705552836776
97,66,Urban,Silver,90,3.6,Evening,Premium,150,717.467322,1.47,high_demand,high_supply,1.1975308641975309,1.736842105263158,570.1728090565925
52,14,Suburban,Gold,97,4.83,Evening,Premium,66,266.977217,3.71,low_demand,low_supply,1.3,1.2727272727272727,270.05512260674317
51,37,Rural,Regular,34,4.64,Afternoon,Economy,100,383.3711771,1.38,low_demand,low_supply,1.275,3.3636363636363638,367.7365424976981
87,52,Urban,Gold,15,3.57,Night,Economy,66,266.4336179,1.67,high_demand,high_supply,1.0740740740740742,1.368421052631579,231.1355060475104
91,42,Suburban,Silver,76,4.96,Morning,Economy,86,336.3943924,2.17,high_demand,high_supply,1.123456790123457,1.105263157894737,298.79940814979796
85,34,Rural,Regular,66,4.59,Morning,Premium,163,764.8593556,2.5,high_demand,low_supply,1.0493827160493827,3.090909090909091,629.9482923529305
57,21,Rural,Silver,28,4.93,Night,Economy,141,588.6941798,2.71,low_demand,low_supply,1.425,1.9090909090909092,499.8077905631496
28,8,Urban,Regular,67,3.78,Afternoon,Premium,58,305.2426677,3.5,low_demand,low_supply,0.7,0.7272727272727273,242.0751804258773
58,30,Urban,Regular,32,4.14,Night,Economy,75,256.3738037,1.93,low_demand,low_supply,1.45,2.727272727272727,271.7334528552836
31,9,Rural,Gold,18,4.42,Morning,Premium,114,461.0193486,3.44,low_demand,low_supply,0.775,0.8181818181818182,440.4732016072351
27,11,Suburban,Gold,88,4.5,Evening,Premium,144,581.7472844,2.45,low_demand,low_supply,0.675,1.0,546.2439948682415
90,75,Urban,Gold,88,4.1,Afternoon,Economy,106,472.5465909,1.2,high_demand,high_supply,1.1111111111111112,1.9736842105263157,377.0409402972248
54,8,Suburban,Regular,41,3.89,Morning,Economy,168,573.4835718,6.75,low_demand,low_supply,1.35,0.7272727272727273,583.8451246482899
23,9,Suburban,Silver,50,3.84,Evening,Premium,34,192.3850222,2.56,low_demand,low_supply,0.575,0.8181818181818182,157.3319573968817
94,64,Urban,Regular,62,4.87,Night,Economy,166,744.0359811,1.47,high_demand,high_supply,1.1604938271604939,1.6842105263157894,585.9116393735856
86,20,Suburban,Silver,51,3.75,Morning,Premium,110,412.2574631,4.3,high_demand,low_supply,1.0617283950617284,1.8181818181818181,431.5525727321527
79,55,Suburban,Regular,91,4.39,Morning,Economy,48,189.560565,1.44,low_demand,high_supply,1.975,1.4473684210526316,163.07303333712113
73,13,Urban,Regular,93,3.95,Night,Economy,90,357.0434722,5.62,low_demand,low_supply,1.825,1.1818181818181819,310.41010208137425
74,23,Urban,Regular,45,4.07,Morning,Premium,99,417.1740954,3.22,low_demand,low_supply,1.85,2.090909090909091,390.45264967326193
26,11,Urban,Gold,10,4.22,Morning,Premium,69,314.8447103,2.36,low_demand,low_supply,0.65,1.0,282.1874000044795
99,30,Urban,Regular,74,4.21,Morning,Premium,160,629.9546011,3.3,high_demand,low_supply,1.2222222222222223,2.727272727272727,613.921770435321
80,42,Urban,Gold,85,4.22,Night,Economy,131,473.561754,1.9,low_demand,high_supply,2.0,1.105263157894737,453.50681339495486
78,35,Rural,Regular,5,4.35,Evening,Premium,100,317.8809578,2.23,low_demand,low_supply,1.95,3.1818181818181817,403.06029553273646
63,6,Urban,Gold,29,4.79,Evening,Premium,24,132.4992195,10.5,low_demand,low_supply,1.575,0.5454545454545454,114.3251492352938
25,8,Rural,Regular,30,4.44,Night,Economy,115,430.785851,3.12,low_demand,low_supply,0.625,0.7272727272727273,402.85454903325575
100,50,Urban,Regular,20,4.14,Evening,Economy,127,350.2265836,2.0,high_demand,high_supply,1.2345679012345678,1.3157894736842106,443.3950983437904
46,8,Urban,Silver,32,4.81,Afternoon,Economy,112,466.4274793,5.75,low_demand,low_supply,1.15,0.7272727272727273,388.0933039595287
59,29,Urban,Regular,90,4.3,Night,Economy,145,651.730389,2.03,low_demand,low_supply,1.475,2.6363636363636362,517.7807040256891
21,11,Rural,Gold,18,4.2,Morning,Premium,49,266.3480732,1.91,low_demand,low_supply,0.525,1.0,213.95087719577333
64,7,Rural,Silver,48,4.67,Evening,Economy,64,266.3853768,9.14,low_demand,low_supply,1.6,0.6363636363636364,215.54765523973265
52,22,Suburban,Gold,72,3.6,Morning,Premium,101,303.8032264,2.36,low_demand,low_supply,1.3,2.0,400.0184432760228
100,56,Suburban,Silver,67,4.2,Evening,Economy,169,461.9661914,1.79,high_demand,high_supply,1.2345679012345678,1.4736842105263157,593.1728258089366
83,72,Rural,Regular,25,4.62,Night,Premium,45,201.0575406,1.15,high_demand,high_supply,1.0246913580246915,1.894736842105263,205.27817669738303
89,10,Rural,Silver,36,4.12,Afternoon,Premium,13,94.21444739,8.9,high_demand,low_supply,1.0987654320987654,0.9090909090909091,84.39017942310272
100,37,Rural,Silver,47,4.7,Afternoon,Economy,142,546.8574477,2.7,high_demand,low_supply,1.2345679012345678,3.3636363636363638,516.0859144148235
71,7,Urban,Gold,31,4.83,Morning,Premium,60,292.7468301,10.14,low_demand,low_supply,1.775,0.6363636363636364,241.71967389890307
94,26,Suburban,Regular,0,3.94,Afternoon,Premium,40,150.9060377,3.62,high_demand,low_supply,1.1604938271604939,2.3636363636363638,189.5909061570895
52,23,Urban,Regular,41,4.23,Evening,Economy,134,534.9066334,2.26,low_demand,low_supply,1.3,2.090909090909091,473.90793715965435
27,15,Urban,Silver,31,4.95,Afternoon,Economy,103,315.265403,1.8,low_demand,low_supply,0.675,1.3636363636363635,363.87075746400814
88,62,Urban,Regular,62,4.82,Afternoon,Economy,162,601.2360266,1.42,high_demand,high_supply,1.0864197530864197,1.631578947368421,571.9689202319665
48,38,Suburban,Silver,64,4.97,Night,Premium,152,701.469573,1.26,low_demand,low_supply,1.2,3.4545454545454546,592.897822459805
